COD_INE;ID_REL;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
01051000000;1010513;01;Araba/Álava;Agurain/Salvatierra;5069;3776,9884;37786;01051000601;Agurain/Salvatierra;4941;0113-3;-2,389753;42,850452;Investigación;608;Investigación
01052000000;1010528;01;Araba/Álava;Samaniego;311;1057,8;16515;01052000101;Samaniego;311;0170-4;-2,67904862;42,56735197;Mapa;571;MDT
01053000000;1010534;01;Araba/Álava;San Millán/Donemiliaga;718;8540,58;107242;01053001101;Ordoñana/Erdoñana;47;0113-3;-2,37748902;42,87382571;Mapa;600;MDT
01054000000;1010549;01;Araba/Álava;Urkabustaiz;1408;6084,96;37118;01054000701;Izarra;1058;0111-2;-2,90661046;42,95304046;Mapa;633;MDT
01055000000;1010552;01;Araba/Álava;Valdegovía/Gaubea;1097;23823,44;104568;01055003001;Villanueva de Valdegovía;150;0111-3;-3,09884417;42,84756896;Mapa;552;MDT
01056000000;1010565;01;Araba/Álava;Harana/Valle de Arana;226;3912,1857;37971;01056000101;Alda;29;0139-2;-2,33104687;42,75289194;Mapa;812;MDT
01057000000;1010571;01;Araba/Álava;Villabuena de Álava/Eskuernaga;291;847,9289;14014;01057000101;Villabuena de Álava/Eskuernaga;291;0170-4;-2,66452938;42,54857804;Mapa;483;MDT
01058000000;1010587;01;Araba/Álava;Legutio;2017;4584,92;37305;01058000601;Legutio;1429;0112-2;-2,64255929;42,9798744;Mapa;570;MDT
01059000000;1010590;01;Araba/Álava;Vitoria-Gasteiz;253672;27698,39;112139;01059006301;Vitoria-Gasteiz;248315;0112-4;-2,67275685;42,85058789;Mapa;539;MDT
01060000000;1010604;01;Araba/Álava;Yécora/Iekora;247;1880,2483;20919;01060000101;Yécora/Iekora;247;0171-3;-2,4700849;42,56923117;Mapa;694;MDT
01061000000;1010611;01;Araba/Álava;Zalduondo;195;1187,86;21423;01061000101;Zalduondo;193;0113-4;-2,34650825;42,88580971;Mapa;612;MDT
01062000000;1010626;01;Araba/Álava;Zambrana;425;3957,05;43901;01062000401;Zambrana;317;0169-2;-2,87806502;42,66112968;Mapa;458;MDT
01063000000;1010632;01;Araba/Álava;Zuia;2330;12257,74;49627;01063001101;Murgia;1097;0112-1;-2,81862854;42,95597763;Mapa;617;MDT
01901000000;1019015;01;Araba/Álava;Iruña Oka/Iruña de Oca;3551;5323,5;35088;01901000201;Nanclares de la Oca/Langraiz Oka;2478;0138-1;-2,8147543;42,81819126;Mapa;502;MDT
01902000000;1019020;01;Araba/Álava;Lantarón;931;6745,49;63679;01902000401;Comunión/Komunioi;81;0137-4;-2,96649719;42,71657557;Mapa;482;MDT
02001000000;1020019;02;Albacete;Abengibre;739;3076,9225;25257;02001000101;Abengibre;739;0743-4;-1,54384487;39,2100078;Mapa;634;MDT
02002000000;1020024;02;Albacete;Alatoz;496;6385,36;37234;02002000101;Alatoz;483;0767-1;-1,36097604;39,09494843;Mapa;858;MDT
02003000000;1020030;02;Albacete;Albacete;172357;112698,96;250011;02003000201;Albacete;165214;0790-2;-1,85574745;38,99588053;Mapa;681;MDT
02004000000;1020045;02;Albacete;Albatana;670;3052,82;22662;02004000101;Albatana;653;0843-4;-1,52275248;38,5708754;Mapa;582;MDT
02005000000;1020058;02;Albacete;Alborea;663;7186,76;36330;02005000101;Alborea;655;0744-1;-1,39670449;39,27835442;Mapa;706;MDT
